,IMF,WB,UN
World,68277035,63865087,63608119
United States,16494106,15590636,15590636
China,12105705,10433099,10433121
Japan,3912083,3696505,3697010
Germany,3141870,2808601,2808600
United Kingdom,2272886,2057907,2055967
India,2218370,2086873,2103351
France,2137313,1975281,1975281
Italy,1532124,1457411,1457411
Canada,1370058,1263085,1266773
South Korea,1314208,1197846,1197701
Russia,1244396,1236499,1231446
Australia,1176609,1015870,1003969
Brazil,1085122,1338249,1344095
Spain,1063140,1013632,1013632
Mexico,867416,922983,913941
Indonesia,842905,814105,814104
Netherlands,736569,659793,659793
Switzerland,599916,511425,532042
Saudi Arabia,585504,576808,576807
Turkey,577945,553864,553864
Iran,496715,323946,439192
Poland,467082,433430,433433
Sweden,455318,386168,386167
Belgium,421165,387777,387777
Thailand,391879,395380,394265
Nigeria,373922,325965,345165
Austria,350461,323750,323750
Ireland,346727,282742,289936
Israel,324938,287072,287396
Norway,323345,293389,293389
Argentina,304164,324019,327087
Philippines,292881,274083,261396
United Arab Emirates,292063,306341,306341
Egypt,286804,220471,230849
Denmark,285557,254667,254667
Malaysia,281573,265271,265273
Singapore,272336,270640,270648
Hong Kong,268145,266021,266019
Vietnam,258133,190523,190523
Bangladesh,256707,220092,218986
South Africa,239701,255633,255632
Chile,223996,205360,205360
Finland,218574,195887,195887
Colombia,215028,235400,235535
Romania,210315,181907,181906
Czech Republic,200843,182347,182346
Pakistan,191161,202380,186940
Portugal,187228,173693,173693
New Zealand,177001,150521,150526
Peru,164334,165010,165012
Greece,152651,152648,149355
Iraq,138740,170281,163835
Kazakhstan,136633,132145,132145
Hungary,128418,118908,118908
Qatar,120772,127905,133454
Ukraine,119726,111861,111861
Algeria,110172,124452,124500
Kuwait,92330,97930,97925
Morocco,90200,87070,87070
Kenya,77135,69469,69468
Puerto Rico,73238,76370,76369
Ecuador,73173,78149,78149
Ethiopia,68351,69768,67467
Sri Lanka,61489,61109,61108
Luxembourg,61158,51722,51721
Dominican Republic,61042,64696,64696
Guatemala,59212,55799,55799
Bulgaria,56579,49870,49409
Myanmar,55425,55345,55853
Ghana,54017,48724,48735
Oman,53912,55524,55524
Angola,48367,64605,61829
Tanzania,47950,45955,44471
Croatia,47439,44192,43946
Lithuania,45243,39736,39736
Uzbekistan,44519,42132,42132
Costa Rica,44501,44954,44934
Belarus,44172,45885,45885
Serbia,43961,37443,37443
Panama,43191,48591,48581
Slovenia,43013,39406,39406
Uruguay,40341,40768,40767
Turkmenistan,39438,29650,35116
Azerbaijan,36308,34950,34950
Jordan,32718,32372,32371
Cameroon,32655,28374,28268
Tunisia,32199,28221,28221
Bolivia,31358,29747,29747
Uganda,30021,25579,23720
Macau,28695,39177,39177
Paraguay,27522,27747,27704
Latvia,27438,24807,24806
Bahrain,27280,28059,28059
Nepal,26248,22288,22342
Sudan,26061,22195,25383
Estonia,25595,22892,22892
Senegal,20314,17151,17213
Cambodia,19814,19705,19710
Cyprus,19261,18148,17869
El Salvador,19114,19657,19656
Honduras,19030,18254,18254
Zimbabwe,18974,15596,15596
Papua New Guinea,17848,18061,18163
Libya,17652,37891,23713
Iceland,17570,17594,17594
Haiti,16316,10425,5856
Trinidad and Tobago,16120,17654,16882
Bosnia and Herzegovina,15969,14667,14667
Laos,14868,13220,13691
Afghanistan,14503,14032,13003
Mali,14484,12570,12680
Lebanon,13912,37819,41032
Zambia,13788,16956,16792
Burkina Faso,13714,11632,11631
Botswana,13621,13341,13341
Gabon,13357,12274,12284
Benin,12604,10468,10477
Albania,12466,11114,11113
Palestine,11988,10632,12408
Malta,11985,10903,10811
Guinea,11885,8945,8986
Georgia,11757,12713,12906
Niger,11565,9392,9403
Brunei,11113,9797,9797
Madagascar,10726,10267,10259
Jamaica,10620,11972,11515
Mongolia,10353,10181,10076
Mozambique,10152,11123,11126
North Macedonia,10053,9127,9234
Chad,9115,8231,8199
Nicaragua,8935,9108,9107
Armenia,8911,9946,9945
Mauritius,8883,10219,10315
Moldova,8727,8706,8696
Equatorial Guinea,8530,8021,8019
Namibia,8279,8996,8995
Rwanda,7734,7532,7532
Malawi,6742,5577,5891
Mauritania,6720,5529,5523
Kosovo,6408,5765,5784
Togo,6275,3993,5288
Tajikistan,5692,5904,6061
Kyrgyzstan,5434,6150,6149
Guyana,5277,3764,3763
Montenegro,4111,4032,4031
Barbados,3366,3789,3789
Fiji,3336,3998,4004
Maldives,3300,4104,4104
Sierra Leone,3215,2998,2998
Eswatini,3074,3253,3342
Djibouti,2664,2419,2303
Liberia,2451,2234,1878
Burundi,2360,2191,2184
Central African Republic,1977,1615,1615
Bhutan,1804,1841,1865
Suriname,1793,2689,2689
Lesotho,1788,1728,1789
Saint Lucia,1300,1544,1544
Timor-Leste,1256,1468,1467
Belize,1237,1368,1386
San Marino,1228,1191,1165
Guinea-Bissau,1198,974,962
Solomon Islands,1196,1157,947
Antigua and Barbuda,1001,1209,1208
Comoros,952,848,847
Grenada,757,881,881
Seychelles,690,1239,1235
Vanuatu,663,679,659
Saint Kitts and Nevis,604,766,764
Saint Vincent and the Grenadines,580,600,600
Samoa,547,620,614
Dominica,380,423,423
Tonga,370,372,370
Marshall Islands,170,161,172
Kiribati,168,142,141
Palau,167,195,204
Nauru,97,86,96
Tuvalu,41,34,34
